Station,Month,Pressure (dbar),Temperature (ITS-90),Salinity (PSS-78) ,DIC (umol/kg),pH,Aklanity (ueq/kg),Modelled_pH
ALOHA,2018-04,1041.225,12.19558333,34.70976667,2176.9,7.72275,2342.916667,7.881387401
ALOHA,2018-05,850.83125,12.81324375,34.62785,2157.73125,7.7381875,2330.8125,7.906241154
ALOHA,2018-06,887.6066667,13.08288,34.57267333,2158.32,7.736266667,2325.333333,7.88927762
ALOHA,2018-07,957.025,14.85598333,34.81355833,2132.383333,7.822916667,2334.916667,7.942820803
ALOHA,2018-09,852.6666667,13.76699333,34.6019,2144.46,7.772733333,2323,7.914078185
ALOHA,2018-11,956.4333333,14.80905833,34.8515,2149.391667,7.786166667,2343.916667,7.912218463
ALOHA,2018-12,3166.2,1.692133333,34.6588,2343.4,7.530333333,2425.333333,7.770759495
ALOHA,2019-01,751.2785714,14.86623571,34.70816429,2127.657143,7.801285714,2314.857143,7.914030514
ALOHA,2019-02,845.05,13.04285625,34.64789375,2161.61875,7.737625,2327.5,7.884842553
ALOHA,2019-05,767.98,13.8995,34.62538,2145.92,7.759066667,2317.333333,7.890288005
ALOHA,2019-06,847.31875,13.7175125,34.62203125,2152.44375,7.7535625,2323,7.886487323
ALOHA,2019-07,846.48125,13.281,34.57054375,2153.225,7.7461875,2318.0625,7.883117471
ALOHA,2019-08,894.4230769,14.85969231,34.56496923,2133.923077,7.784384615,2315.461538,7.897013381
ALOHA,2019-09,844.0625,14.0277625,34.60800625,2155.45,7.7415,2317.875,7.861441082
ALOHA,2019-10,851.39375,12.78141875,34.60448125,2162.875,7.7289375,2323.6875,7.878609071
ALOHA,2019-12,718.3615385,16.19401538,34.63386154,2121.623077,7.815,2314.769231,7.907154722
ALOHA,2020-01,950.6555556,12.32055926,34.5417037,2168.959259,7.714444444,2323.074074,7.866347523
ALOHA,2020-07,963.3428571,11.40528571,34.47465,2188,7.671071429,2322.714286,7.834952099
ALOHA,2020-08,842.56875,13.78809375,34.53544375,2153.7,7.7404375,2317.875,7.873339439
ALOHA,2020-09,848.9580645,14.17812258,34.58127097,2149.235484,7.751806452,2320.258065,7.883019325
ALOHA,2020-11,770.4615385,14.49895385,34.59875385,2144.246154,7.755076923,2319.769231,7.890379131
ALOHA,2020-12,768.5333333,15.00683333,34.65253333,2138.173333,7.767666667,2319.866667,7.894395292
ALOHA,2021-01,949.5428571,12.23943571,34.60805714,2176.478571,7.707571429,2332.714286,7.867776041
ALOHA,2021-02,980.9833333,13.97234167,34.64071667,2150.9,7.765833333,2328,7.890771877
ALOHA,2021-03,569.1833333,16.03433333,34.660475,2102.383333,7.833166667,2306.333333,7.948655113
ALOHA,2021-04,783.9555556,12.80336667,34.54078889,2144.311111,7.753,2309.777778,7.906478556
ALOHA,2021-05,932.8307692,14.00625385,34.6148,2145.838462,7.775461538,2325.692308,7.905226559
ALOHA,2021-06,841.6846154,13.65426923,34.62221538,2150.384615,7.754538462,2318.461538,7.888466739
ALOHA,2021-07,689.9916667,14.21271667,34.61668333,2148.975,7.74025,2314.666667,7.870415641
ALOHA,2021-10,513.3875,13.6813125,34.5688625,2159.125,7.706875,2310.125,7.846488662
ALOHA,2021-12,870.7733333,13.88132667,34.66712667,2156.753333,7.752666667,2330,7.891963658
ALOHA,2022-03,268.8333333,16.79935,34.74354167,2105.716667,7.820916667,2300.833333,7.924421934
ALOHA,2022-05,424.4923077,16.04356923,34.68396154,2127.353846,7.788153846,2311.230769,7.900423542
ALOHA,2022-07,891.0678571,14.51587143,34.80315357,2151.392857,7.779607143,2335.321429,7.902738905
ALOHA,2022-09,953.0142857,12.12291429,34.58510714,2184.092857,7.688,2328.714286,7.84241126
ALOHA,2023-01,788,15.24017143,34.72448571,2136.035714,7.790357143,2322.214286,7.904505136
ALOHA,2023-03,727.34,14.13497,34.7407,2153.29,7.746,2321.1,7.875149883
ALOHA,2023-05,900.025,13.13390833,34.58113333,2168.325,7.716833333,2321.416667,7.857743747
ALOHA,2023-08,840.625,14.1028875,34.6970625,2160.6,7.7421875,2326.5,7.867320204
ALOHA,2023-09,850.3875,13.54195,34.69745,2164.725,7.735875,2327.75,7.870421893
ALOHA,2023-10,1444.377778,5.755177778,34.39771111,2271.411111,7.524777778,2342.666667,7.745029322
ALOHA,2023-11,779.35,13.91508929,34.66783214,2160.678571,7.732607143,2322.928571,7.863928113
ALOHA,2023-12,962.0357143,11.79072143,34.62129286,2189.621429,7.685642857,2330.285714,7.840260091
ALOHA,2024-04,761.0296296,14.65173333,34.72399259,2146.525926,7.76637037,2323.222222,7.891668486
ALOHA,2024-07,3248.95,1.829,34.65135,2344.55,7.5245,2416.5,7.734073038
ALOHA,2024-09,900.12,12.93571333,34.68328667,2174.246667,7.717066667,2329.266667,7.857049507
ALOHA,2024-10,885.68,14.04804667,34.7306,2167.173333,7.737,2331.466667,7.860691859
ALOHA,2024-12,849.03125,12.7907,34.7183375,2171.5875,7.7235,2329.25,7.868933207
